id	url	contractor
1	http://www.kuronekoyamato.co.jp/ytc/customer/members/receive/redelivery/	0
2	https://www.sagawa-exp.co.jp/send/redeliver.html	1
3	https://trackings.post.japanpost.jp/delivery/deli/	2
4	https://track-a.tmg-tms.com/cts/Redelivery.do?method_id=INIT	3

